"","상호명","신주소","Latitude","Longitude","dis_diff"
"176","너비집","04534 서울 중구 명동9길 37-8 (을지로2가)",37.5654903,126.9837619,0.0205758852341742
"177","마리한정식","03721 서울 서대문구 성산로 529 (대신동)",37.5637992,126.9443435,0.0306836886299556
"178","아리아께","04605 서울 중구 동호로 249 (신라호텔) 2층",37.5564719,127.0061615,0.0435972203991259
"179","소도","07332 서울 영등포구 여의대방로65길 17 (여의도동, 서린빌딩)",37.5197067,126.9292034,0.0733662687272528
"180","화단","07241 서울특별시 영등포구 여의공원로 101 (여의도동) C.C.M.M빌딩 12층",37.5292904,126.9248398,0.0684058101062325
"181","마도","07332 서울 영등포구 의사당대로1길 11 (여의도동, 메종리브르오피스텔)",37.5191693,126.9285663,0.0741673068326592
"182","성민촌","07327 서울 영등포구 여의나루로 71 (여의도동, 동화빌딩) 지하 1층",37.5237336,126.9269202,0.0714043643481981
"183","희정식당","07336 서울 영등포구 여의나루로 117 지하",37.5261946,126.9310419,0.0669814650931184
"184","바삭","07333 서울 영등포구 여의대방로 383 (여의도동, 경도빌딩)",37.5193175,126.9314199,0.0724886900561076
"185","황생가칼국수","03053 서울 종로구 북촌로5길 78 (소격동)",37.5800396,126.9806545,0.0107417619457845
"186","딸기골분식","03721 서울 서대문구 연대동문길 29 (대신동)",37.5638792,126.9438228,0.0310758506922932
"187","고래불","06239 서울 강남구 논현로79길 62 (역삼동)",37.4962364999999,127.0339424,0.105998753460668
"188","맘마키키","06577 서울 서초구 서래로10길 9 (반포동, 서래)",37.4995278,126.9988566,0.086196834485082
"189","미우미우","05638 서울 송파구 양재대로71길 2-27 (방이동, 인택파크랜드)",37.5113498,127.1269288,0.171640347950035
"190","미성회관","04352 서울 용산구 한강대로84길 12 (남영동, 미성회관)",37.5434474,126.9731548,0.037419101647286
"191","도림","05554 서울 송파구 올림픽로 240 (잠실동, 롯데월드) 32층",37.5111158,127.098167,0.145908580071391
"192","알라딘의양고기","05559 서울 송파구 백제고분로7길 42-16 (정빌딩)",37.5100829,127.0836955,0.133911107199999
"193","알파르코","05402 서울 강동구 강동대로 187 (성내동, 파크비유캐슬)",37.5247892999999,127.1274079,0.167113380129113
"194","어양","05545 서울 송파구 위례성대로 14 (한미타워)",37.516571,127.113958,0.157666623903499
"195","레트로오븐","06097 서울 강남구 봉은사로55길 25",37.5121535,127.0439095,0.100869604667259
"196","라본느타르트","03721 서울특별시 서대문구 성산로 543 (대신동)",37.5648023,126.9452846,0.0293470735372462
"197","무샤","06576 서울 서초구 서래로 33 (반포동)",37.4980829,126.9981544,0.0873298848688094
"198","비원손칼국수","03058 서울 종로구 창덕궁1길 9-1",37.5790894,126.9887657,0.0189020322108469
"199","아지겐","04423 서울 용산구 이촌로75길 22 (이촌동)",37.520713,126.9745762,0.0601939100744381
"200","춘천집닭갈비막국수","03789 서울 서대문구 연세로5가길 1 (창천동)",37.5570105,126.9360854,0.0413314342383683
"201","해방촌 노아","04337 서울 용산구 신흥로 98 (용산동2가)",37.5453263,126.9847407,0.0383728262807135
"202","지노프란체스카티","03721 서울 서대문구 연대동문길 45 (대신동)",37.5643772,126.9443942,0.0303259146376459
"203","봉피양","06626 서울 서초구 강남대로53길 11 (서초동삼성쉐르빌2)",37.4939235,127.0278995,0.104378520701001
"204","니와","04423 서울 용산구 이촌로75길 22",37.520713,126.9745762,0.0601939100744381
"205","레더라","04520 서울 중구 세종대로 136 (파이낸스빌딩) 지하 1층",37.568369,126.97779,0.01464382575456
"206","핀","03721 서울 서대문구 연대동문길 29 (대신동)",37.5638792,126.9438228,0.0310758506922932
"207","부일갈비","06725 서울 서초구 서초중앙로2길 42",37.4838639,127.0196908,0.108895616470265
"208","미카사","04350 서울 용산구 이태원로27가길 51",37.5348068,126.992334,0.0510925945460756
"209","리차드카피캣 24H (Richard Copycat 24H)","04404 서울 용산구 이태원로 214-1 (한남동)",37.5345767,126.997904,0.0539647194900481
"210","봉산집","04382 서울 용산구 한강대로62나길 24",37.5343891,126.9749988,0.0466144821483599
"211","남서울민물장어","06121 서울 강남구 봉은사로 137 (상원빌딩)",37.5062433,127.0295121,0.095380189340604
"212","비니위니","06577 서울 서초구 서래로8길 1 (반포동)",37.4987062,126.9985599,0.0868730269546269
"213","린즈컵케이크","06004 서울 강남구 압구정로29길 68 (압구정동, 현대아파트) 지하 1층",37.5320757,127.0284556,0.0761032268477449
"214","노들강","06120 서울 강남구 강남대로114길 21",37.5061933,127.025959,0.0932420922598757
"215","비어드파파","06736 서울특별시 서초구 강남대로 224 (양재동)",37.4583497,127.0381148,0.140088854959983
"216","봉자네","04427 서울특별시 용산구 이촌로 182 (이촌동)",37.5209735,126.9673472,0.059810200563115
"217","오발탄","05654 서울 송파구 위례성대로 206",37.5089944,127.1333581,0.17847364318514
"218","미카야","04001 서울 마포구 동교로 145-1 (학산빌딩)",37.5554628999999,126.9181766,0.0575953243439579
"219","나물먹는곰","04042 서울 마포구 잔다리로 20-12",37.55143,126.9209522,0.0570758296308503
"220","라망두스","04053 서울 마포구 와우산로27길 26",37.554395,126.927039,0.0503334952783015
"221","마차횟집","04077 서울 마포구 토정로 155 (하중동)",37.5429708,126.9277011,0.0566504096481287
"222","비스위트온","04054 서울 마포구 와우산로27길 27 2층",37.5542494,126.9267854,0.0506257947221576
"223","서래양곱창","06577 서울특별시 서초구 사평대로 130 (반포동)",37.4998779,126.9985952,0.0857794187914496
"224","알리바바","04349 서울특별시 용산구 이태원로 203 (이태원동)",37.5375698,126.9923862,0.0486484295159617
"225","심양","06062 서울 강남구 도산대로 408 (신우빌딩)",37.5229812,127.0402214,0.0909662816751814
"226","신정","06239 서울 강남구 테헤란로8길 29 (신정)",37.49704,127.0323759,0.104415143061243
"227","담장옆에국화꽃","06577 서울 서초구 서래로10길 10",37.4992164,126.9987906,0.0864681977453525
"228","슌미","06124 서울 강남구 봉은사로 130 (역삼동, 노보텔 앰배서더 강남 서울) Lower Lobby층",37.505258,127.028829,0.0957298407589274
"229","하코야","06227 서울 강남구 논현로72길 16 (역삼동, 초원빌딩)",37.5001826,127.0386325,0.105862586022161
"230","대우식당","06131 서울 강남구 테헤란로25길 34",37.5027159,127.0352647,0.101753804711417
"231","본가 논현본점","06119 서울 강남구 강남대로 494 (논현동)",37.5135304,127.0315341,0.091158932024126
"232","웨스턴차이나","04419 서울 용산구 독서당로 73 (한남동, 성아맨숀)",37.5341931,127.0084985,0.0604369750636913
"233","호텔 리츠칼튼 서울 더가든","06124 서울 강남구 봉은사로 120 (역삼동, 호텔 리츠칼튼 서울)",37.5047005,127.0275166,0.0953718974912375
"234","시실리","06577 서울 서초구 서래로 26 (반포동)",37.4973018,126.9984905,0.088177711431512
"235","해남천일관","06130 서울 강남구 테헤란로13길 21 (역삼동)",37.50097,127.0318898,0.100993627196417
"236","이쯔모","04420 서울 용산구 독서당로 80 (한남동, 대정빌딩)",37.5339758,127.0094529,0.0612161774469732
